Time,proton_speed,proton_density,proton_temperature,K_p
2022/1/4 16:00,416.9768858,4.386851639,11.54795594,1
2022/1/4 17:00,416.8625539,4.627321535,11.63823748,1
2022/1/4 18:00,416.3510032,4.461429845,11.49786535,1
2022/1/4 19:00,415.8026106,4.341847885,11.58179827,1
2022/1/4 20:00,413.2077911,4.227201695,11.53578117,1
2022/1/4 21:00,495.3343909,4.975619506,12.09942393,1
2022/1/4 22:00,498.3207805,5.206870602,12.02302828,1
2022/1/4 23:00,459.8050723,5.161135354,11.82059274,1
2022/1/5 0:00,413.8542601,5.156926217,11.41031512,2.3
2022/1/5 1:00,455.4660582,5.407040419,12.05455632,2.3
2022/1/5 2:00,459.897404,5.380006804,11.8052993,2.3
2022/1/5 3:00,412.4560423,4.577693651,11.35011383,2.3
2022/1/5 4:00,460.0308829,5.528995988,11.80355175,2.3
2022/1/5 5:00,460.0042383,5.617145156,11.80688532,2.3
2022/1/5 6:00,464.3740168,5.370723831,11.9936182,2.3
2022/1/5 7:00,460.7637981,5.217880891,11.80319007,2.3
2022/1/5 8:00,412.77643,4.748869749,11.40899481,2.3
2022/1/5 9:00,413.4536699,4.574182086,11.47614442,2.3
2022/1/5 10:00,416.04618,4.396623548,11.63600661,2.3
2022/1/5 11:00,416.0951574,4.364571987,11.64004185,2.3
2022/1/5 12:00,417.1121368,4.383612041,11.66901832,2.3
2022/1/5 13:00,416.1293956,5.05903197,11.62395312,2.3
2022/1/5 14:00,418.276138,5.166139066,11.77477597,2.3
2022/1/5 15:00,416.1091674,5.3313922,11.61301727,2.3
2022/1/5 16:00,412.6331505,4.469718582,11.55861316,2.3
2022/1/5 17:00,413.1476504,4.687821245,11.57918131,2.3
2022/1/5 18:00,493.7106759,5.184075185,11.83738862,2.3
2022/1/5 19:00,413.0472262,4.985539846,11.39763536,2.3
2022/1/5 20:00,415.6902683,5.195196463,11.76051893,2.3
2022/1/5 21:00,495.230768,5.651894415,11.66374234,2.3
2022/1/5 22:00,413.3377003,5.229616128,11.3989178,2.3
2022/1/5 23:00,464.2827791,5.21854593,12.01368918,2.3
2022/1/6 0:00,496.6396437,5.743650961,11.83096496,3.4
2022/1/6 1:00,493.442138,5.345514833,12.19879088,3.4
2022/1/6 2:00,493.4116103,5.559078368,12.19740446,3.4
2022/1/6 3:00,495.4108382,5.178793356,11.95378255,3.4
2022/1/6 4:00,495.3922797,5.056436582,12.02956411,3.4
2022/1/6 5:00,495.3845902,5.528942626,12.14356873,3.4
2022/1/6 6:00,494.2719718,6.079908007,12.09394871,3.4
2022/1/6 7:00,494.5614671,5.592249188,12.09747969,3.4
2022/1/6 8:00,487.1123212,6.612890453,12.00363676,3.4
2022/1/6 9:00,486.7590195,6.551061359,11.97359384,3.4
2022/1/6 10:00,486.1179945,6.807637697,11.98527727,3.4
2022/1/6 11:00,487.6476249,6.728192655,11.90721802,3.4
2022/1/6 12:00,488.3135289,6.673877461,11.91958819,3.4
2022/1/6 13:00,485.7104121,7.026223195,12.02513841,3.4
2022/1/6 14:00,488.7317627,6.536678265,12.03483044,3.4
2022/1/6 15:00,491.8260934,5.71706745,12.13045681,3.4
2022/1/6 16:00,410.7579975,4.945379024,11.76356549,3.4
2022/1/6 17:00,425.3974626,4.068326886,11.71289314,3.4
2022/1/6 18:00,434.2156805,4.879695481,12.03541612,3.4
2022/1/6 19:00,427.7081221,3.902147062,11.93910328,3.4
2022/1/6 20:00,496.7716,5.175227537,11.62166907,3.4
2022/1/6 21:00,491.2671581,5.690906668,12.05789681,3.4
2022/1/6 23:00,430.0293818,4.614983647,11.66676359,3.4
2022/1/7 0:00,428.9889246,4.426198048,11.45001219,4.4
2022/1/7 1:00,431.8106742,4.701727653,11.88051195,4.4
2022/1/7 2:00,433.5466547,4.887005555,11.47019572,4.4
2022/1/7 3:00,434.0558065,4.99918986,11.8336289,4.4
2022/1/7 4:00,432.9666468,4.815950916,11.82339892,4.4
2022/1/7 5:00,429.6752613,4.451045217,11.85357869,4.4
2022/1/7 6:00,433.059855,5.026653048,11.43358801,4.4
2022/1/7 7:00,495.0976346,5.396241295,11.5029472,4.4
2022/1/7 9:00,430.577832,4.894114381,11.78862872,4.4
2022/1/7 10:00,491.0218102,5.734132918,12.03480476,4.4
2022/1/7 11:00,490.2677264,5.528009489,12.02216889,4.4
2022/1/7 12:00,489.3414603,5.56810951,12.04521632,4.4
2022/1/7 13:00,489.5046481,5.462889418,12.04656814,4.4
2022/1/7 14:00,423.6383304,5.141526967,11.56194109,4.4
2022/1/7 15:00,436.9795349,4.703378101,11.62808125,4.4
2022/1/7 16:00,435.3695293,5.084097744,11.61443392,4.4
2022/1/7 17:00,430.9816273,4.366237312,11.28731415,4.4
2022/1/7 18:00,430.366895,5.059493282,11.2843795,4.4
2022/1/7 19:00,433.1119543,4.712255008,11.34433859,4.4
2022/1/7 20:00,430.9207957,4.844281084,11.68001755,4.4
2022/1/7 21:00,430.7427598,5.211614944,11.13525877,4.4
2022/1/7 22:00,441.8907074,4.266224164,12.08794811,4.4
2022/1/7 23:00,429.8888084,4.097342328,11.95855153,4.4
2022/1/8 0:00,434.9228276,4.269205285,12.032534,4.4
2022/1/8 1:00,431.3791276,4.529571107,11.95652216,4.4
2022/1/8 2:00,432.7198852,5.638011018,11.81954132,4.4
